year_film,year_ceremony,film,winner,film_id,audienceScore,tomatoMeter,runtimeMinutes,genre,boxOffice,days_to_ceremony,English,releaseMonth
1928,1929,The Patriot,0,the_patriot_1928,55.0,100.0,108.0,History,,272,Yes,8
1929,1930,Disraeli,0,disraeli_1929,42.0,83.0,89.0,Biography,,123,Yes,11
1929,1930,The Love Parade,0,the_love_parade_1929,77.0,100.0,107.0,Musical,,105,Yes,11
1931,1932,Arrowsmith,0,arrowsmith_1931,42.0,89.0,108.0,Drama,,328,Yes,12
1931,1932,Bad Girl,0,bad_girl_1931,40.0,,90.0,Drama,,463,Yes,8
1931,1932,The Champ,0,the_champ_1931,75.0,96.0,86.0,Drama,,363,Yes,11
1931,1932,Five Star Final,0,five_star_final_1931,78.0,91.0,89.0,Crime,,419,Yes,9
1931,1932,The Smiling Lieutenant,0,the_smiling_lieutenant_1931,67.0,88.0,88.0,Musical,,475,No,8
1934,1935,The Barretts of Wimpole Street,0,the_barretts_of_wimpole_street_1934,70.0,78.0,110.0,Romance,,172,Yes,9
1934,1935,Cleopatra,0,cleopatra_1934,67.0,82.0,101.0,History,,145,Yes,10
1934,1935,Flirtation Walk,0,flirtation_walk_1934,27.0,100.0,97.0,Musical,,88,Yes,12
1934,1935,The Gay Divorcee,0,the_gay_divorcee_1934,82.0,93.0,107.0,Musical,,138,Yes,10
1934,1935,Here Comes the Navy,0,here_comes_the_navy_1934,38.0,80.0,86.0,Comedy,,221,Yes,7
1934,1935,The House of Rothschild,0,the_house_of_rothschild_1934,53.0,100.0,86.0,Drama,,326,Yes,4
1934,1935,Imitation of Life,0,imitation_of_life_1934,84.0,87.0,106.0,Drama,,93,Yes,11
1934,1935,It Happened One Night,1,it_happened_one_night_1934,93.0,98.0,105.0,Romance,,370,Yes,2
1934,1935,One Night of Love,0,one_night_of_love_1934,45.0,71.0,80.0,Musical,,236,Yes,7
1934,1935,The Thin Man,0,the_thin_man_1934,94.0,98.0,93.0,Comedy,,271,Yes,6
1934,1935,Viva Villa!,0,viva_villa!_1934,47.0,60.0,115.0,History,,306,Yes,4
1934,1935,The White Parade,0,the_white_parade_1934,,57.0,80.0,Comedy,,103,Yes,11
1935,1936,Alice Adams,0,alice_adams_1935,71.0,94.0,99.0,Comedy,,262,Yes,8
1935,1936,Broadway Melody of 1936,0,broadway_melody_of_1936_1935,76.0,89.0,105.0,Musical,,226,Yes,9
1935,1936,Captain Blood,0,captain_blood_1935,89.0,100.0,119.0,Adventure,,136,Yes,12
1935,1936,David Copperfield,0,david_copperfield_1935,77.0,100.0,130.0,Drama,,481,Yes,1
1935,1936,The Informer,0,the_informer_1935,77.0,94.0,91.0,Drama,,360,Yes,5
1935,1936,Les Miserables,0,les_miserables_1935,86.0,85.0,108.0,Drama,,379,Yes,4
1935,1936,The Lives of a Bengal Lancer,0,the_lives_of_a_bengal_lancer_1935,72.0,100.0,109.0,Adventure,,478,Yes,1
1935,1936,A Midsummer Night's Dream,0,a_midsummer_night's_dream_1935,62.0,91.0,132.0,Comedy,,200,Yes,10
1935,1936,Mutiny on the Bounty,1,mutiny_on_the_bounty_1935,84.0,96.0,132.0,Adventure,,177,Yes,11
1935,1936,Naughty Marietta,0,naughty_marietta_1935,76.0,56.0,106.0,Musical,,401,Yes,3
1935,1936,Ruggles of Red Gap,0,ruggles_of_red_gap_1935,90.0,100.0,92.0,Comedy,,422,Yes,3
1935,1936,Top Hat,0,top_hat_1935,90.0,100.0,99.0,Musical,,240,Yes,9
1936,1937,Anthony Adverse,0,anthony_adverse_1936,49.0,20.0,140.0,Romance,,217,Yes,8
1936,1937,Dodsworth,0,dodsworth_1936,86.0,90.0,101.0,Drama,,192,Yes,9
1936,1937,The Great Ziegfeld,1,the_great_ziegfeld_1936,50.0,72.0,174.0,Musical,,360,Yes,4
1936,1937,Libeled Lady,0,libeled_lady_1936,87.0,86.0,98.0,Comedy,,176,Yes,10
1936,1937,Mr. Deeds Goes to Town,0,mr._deeds_goes_to_town_1936,86.0,91.0,115.0,Comedy,,352,Yes,4
1936,1937,Romeo and Juliet,0,romeo_and_juliet_1936,54.0,78.0,126.0,Romance,,212,Yes,9
1936,1937,San Francisco,0,san_francisco_1936,71.0,92.0,115.0,Adventure,,281,Yes,6
1936,1937,Three Smart Girls,0,three_smart_girls_1936,52.0,86.0,84.0,Kids & family,,104,Yes,12
1937,1938,The Awful Truth,0,the_awful_truth_1937,87.0,90.0,92.0,Comedy,,347,Yes,10
1937,1938,Captains Courageous,0,captains_courageous_1937,89.0,94.0,117.0,Adventure,,465,Yes,6
1937,1938,Dead End,0,dead_end_1937,77.0,91.0,93.0,Crime,,405,Yes,8
1937,1938,The Good Earth,0,the_good_earth_1937,76.0,95.0,138.0,Drama,,423,Yes,8
1937,1938,The Life of Emile Zola,1,the_life_of_emile_zola_1937,73.0,91.0,116.0,Biography,,366,Yes,10
1937,1938,Lost Horizon,0,lost_horizon_1937,82.0,93.0,132.0,Adventure,,580,Yes,3
1937,1938,Stage Door,0,stage_door_1937,87.0,96.0,92.0,Comedy,,383,Yes,9
1937,1938,A Star Is Born,0,a_star_is_born_1937,79.0,100.0,111.0,Drama,,524,Yes,4
1938,1939,The Adventures of Robin Hood,0,the_adventures_of_robin_hood_1938,89.0,100.0,102.0,Adventure,,377,Yes,2
1938,1939,Alexander's Ragtime Band,0,alexander's_ragtime_band_1938,46.0,80.0,105.0,Musical,,191,Yes,8
1938,1939,Boys Town,0,boys_town_1938,81.0,90.0,96.0,Drama,,168,Yes,9
1938,1939,The Citadel,0,the_citadel_1938,74.0,89.0,112.0,Drama,,112,Yes,11
1938,1939,Four Daughters,0,four_daughters_1938,78.0,100.0,90.0,Romance,,198,Yes,8
1938,1939,Jezebel,0,jezebel_1938,83.0,95.0,104.0,Drama,,350,Yes,3
1938,1939,Pygmalion,0,pygmalion_1938,85.0,94.0,96.0,Romance,,344,Yes,3
1938,1939,Test Pilot,0,test_pilot_1938,69.0,67.0,118.0,Adventure,,307,Yes,4
