Oscars,Year,Date,Best Picture
1,1929,16.05.1929,Wings
2,1930,03.04.1930,The Broadway Melody
3,1930,05.11.1930,All Quiet on the Western Front
4,1931,10.11.1931,Cimarron
5,1932,18.11.1932,Grand Hotel
6,1934,16.03.1934,Cavalcade
7,1935,27.02.1935,It Happened One Night
8,1936,05.03.1936,Mutiny on the Bounty
9,1937,04.03.1937,The Great Ziegfeld
10,1938,10.03.1938,The Life of Emile Zola
11,1939,23.02.1939,You Can't Take It With You
12,1940,29.02.1940,Gone with the Wind
13,1941,27.02.1941,Rebecca
14,1942,26.02.1942,How Green Was My Valley
15,1943,04.03.1943,Mrs. Miniver
16,1944,02.03.1944,Casablanca
17,1945,15.03.1945,Going My Way
18,1946,07.03.1946,The Lost Weekend
19,1947,13.03.1947,The Best Years of Our Lives
20,1948,20.03.1948,Gentleman's Agreement
21,1949,24.03.1949,Hamlet
22,1950,23.03.1950,All the King's Men
23,1951,29.03.1951,All About Eve
24,1952,20.03.1952,An American in Paris
25,1953,19.03.1953,The Greatest Show on Earth
26,1954,25.03.1954,From Here to Eternity
27,1955,30.03.1955,On the Waterfront
28,1956,21.03.1956,Marty
29,1957,27.03.1957,Around the World in 80 Days
30,1958,26.03.1958,The Bridge on the River Kwai
31,1959,06.04.1959,Gigi
32,1960,04.04.1960,Ben-Hur
33,1961,17.04.1961,The Apartment
34,1962,09.04.1962,West Side Story
35,1963,08.04.1963,Lawrence of Arabia
36,1964,13.04.1964,Tom Jones
37,1965,05.04.1965,My Fair Lady
38,1966,18.04.1966,The Sound of Music
39,1967,10.04.1967,A Man for All Seasons
40,1968,10.04.1968,In the Heat of the Night
41,1969,14.04.1969,Oliver!
42,1970,07.04.1970,Midnight Cowboy
43,1971,15.04.1971,Patton
44,1972,10.04.1972,The French Connection
45,1973,27.03.1973,The Godfather
46,1974,02.04.1974,The Sting
47,1975,08.04.1975,The Godfather Part II
48,1976,29.03.1976,One Flew Over the Cuckoo's Nest
49,1977,28.03.1977,Rocky
50,1978,03.04.1978,Annie Hall
51,1979,09.04.1979,The Deer Hunter
52,1980,14.04.1980,Kramer vs. Kramer
53,1981,31.03.1981,Ordinary People
54,1982,29.03.1982,Chariots of Fire
55,1983,11.04.1983,Gandhi
56,1984,09.04.1984,Terms of Endearment
57,1985,25.03.1985,Amadeus
58,1986,24.03.1986,Out of Africa
59,1987,30.03.1987,Platoon
60,1988,11.04.1988,The Last Emperor
61,1989,29.03.1989,Rain Man
62,1990,26.03.1990,Driving Miss Daisy
63,1991,25.03.1991,Dances with Wolves
64,1992,30.03.1992,The Silence of the Lambs
65,1993,29.03.1993,Unforgiven
66,1994,21.03.1994,Schindler's List
67,1995,27.03.1995,Forrest Gump
68,1996,25.03.1996,Braveheart
69,1997,24.03.1997,The English Patient
70,1998,23.03.1998,Titanic
71,1999,21.03.1999,Shakespeare in Love
72,2000,26.03.2000,American Beauty
73,2001,25.03.2001,Gladiator
74,2002,24.03.2002,A Beautiful Mind
75,2003,23.03.2003,Chicago
76,2004,29.02.2004,The Lord of the Rings: The Return of the King
77,2005,27.02.2005,Million Dollar Baby
78,2006,05.03.2006,Crash
79,2007,25.02.2007,The Departed
80,2008,24.02.2008,No Country for Old Men
81,2009,22.02.2009,Slumdog Millionaire
82,2010,07.03.2010,The Hurt Locker
83,2011,27.02.2011,The King's Speech
84,2012,26.02.2012,The Artist
85,2013,24.02.2013,Argo
86,2014,02.03.2014,12 Years a Slave
87,2015,22.02.2015,Birdman
88,2016,28.02.2016,Spotlight
89,2017,26.02.2017,Moonlight
90,2018,04.03.2018,The Shape of Water
91,2019,24.02.2019,Green Book
92,2020,09.02.2020,Parasite
93,2021,25.04.2021,Nomadland
94,2022,27.03.2022,CODA
95,2023,12.03.2023,Everything Everywhere All at Once
96,2024,10.03.2024,Oppenheimer
