film_id,film,year_film,year_ceremony,date_ceremony,oscars,nominations,audienceScore,tomatoMeter,rating,releaseDateTheaters,runtimeMinutes,genre,originalLanguage,boxOffice,days_to_ceremony,English
ben-hur_1959,Ben-Hur,1959,1960,1960-04-04,11,12,89.0,85.0,,1959-11-18,203.0,History,English,,138,Yes
titanic_1997,Titanic,1997,1998,1998-03-23,11,14,69.0,88.0,PG-13,1997-12-19,195.0,History,English,$658.8M,94,Yes
the_lord_of_the_rings:_the_return_of_the_king_2003,The Lord of the Rings: The Return of the King,2003,2004,2004-02-29,11,11,86.0,93.0,PG-13,2003-12-17,200.0,Fantasy,English,$377.8M,74,Yes
west_side_story_1961,West Side Story,1961,1962,1962-09-04,10,11,84.0,92.0,,1961-10-18,151.0,Musical,English,,321,Yes
the_last_emperor_1987,The Last Emperor,1987,1988,1988-11-04,9,9,88.0,87.0,,1987-11-18,162.0,Biography,English,$43.0M,352,Yes
gigi_1958,Gigi,1958,1959,1959-06-04,9,9,74.0,88.0,,1958-05-15,116.0,Musical,English,,385,Yes
the_english_patient_1996,The English Patient,1996,1997,1997-03-24,9,12,83.0,86.0,,1996-11-06,162.0,Drama,English,$78.7M,138,Yes
my_fair_lady_1964,My Fair Lady,1964,1965,1965-05-04,8,12,90.0,94.0,,1964-10-21,170.0,Musical,English,$447.6K,195,Yes
on_the_waterfront_1954,On the Waterfront,1954,1955,1955-03-30,8,12,95.0,99.0,,1954-07-28,108.0,Drama,English,,245,Yes
cabaret_1972,Cabaret,1972,1973,1973-03-27,8,10,87.0,92.0,,1972-02-13,124.0,Musical,English,,408,Yes
from_here_to_eternity_1953,From Here to Eternity,1953,1954,1954-03-25,8,13,84.0,88.0,,1953-08-05,118.0,Drama,English,,232,Yes
amadeus_1984,Amadeus,1984,1985,1985-03-25,8,11,95.0,89.0,,1984-11-13,158.0,Biography,English,,132,Yes
gandhi_1982,Gandhi,1982,1983,1983-11-04,8,11,92.0,89.0,,1982-11-30,188.0,Biography,English,,339,Yes
gone_with_the_wind_1939,Gone with the Wind,1939,1940,1940-02-29,8,13,92.0,90.0,,1939-12-15,222.0,Romance,English,$198.7M,76,Yes
gravity_2013,Gravity,2013,2014,2014-02-03,7,10,79.0,96.0,PG-13,2013-10-04,91.0,Drama,English,$274.1M,122,Yes
patton_1970,Patton,1970,1971,1971-04-15,7,10,93.0,90.0,,1970-01-25,171.0,War,English,,445,Yes
lawrence_of_arabia_1962,Lawrence of Arabia,1962,1963,1963-08-04,7,10,93.0,94.0,,1962-12-16,216.0,Biography,English,$6.0M,231,Yes
oppenheimer_2023,Oppenheimer,2023,2024,2024-10-03,7,13,,,,2023-07-21,,History,English,,440,Yes
out_of_africa_1985,Out of Africa,1985,1986,1986-03-24,7,11,82.0,61.0,,1985-12-18,160.0,Romance,English,$83.1M,96,Yes
the_bridge_on_the_river_kwai_1957,The Bridge on the River Kwai,1957,1958,1958-03-26,7,8,93.0,96.0,,1957-12-18,161.0,War,English,,98,Yes
